0,金主,4,32,015000,0,1
1,肖小海,7,12,010000,500,1
2,丁子户,6,25,800000,3600,1
3,周星星,0,30,200000,1200,1
4,金琅暴富,12,60,999999999,500000,1
5,林经理,10,50,1400000,23600,1
6,余泽成,11,40,1000000,5200,1
7,占士邦,3,40,800000,4200,1
8,汪宝强,2,30,600000,2400,1
9,包卫国,5,25,1200000,9900,1
10,智能方丈,1,80,2000000,131400,1
11,金算盘,13,50,1600000,51900,1
12,毕减索,8,70,1000000,5400,1
13,艾德华,9,40,200000,1400,1
14,杨艳艳,29,60,1200000,10800,0
15,Linda,31,40,800000,4600,0
16,施西,17,25,1000000,5800,0
17,樱桃小万子,18,20,010000,600,0
18,Amelie,14,25,011000,700,0
19,包租婆,15,50,1800000,88700,0
20,戴提琴,16,20,1000000,6500,0
21,巫小莉,20,30,600000,2500,0
22,白天使,21,30,200000,1500,0
23,baby,30,20,200000,1600,0
24,金智妍,22,25,1200000,11000,0
25,屠春丽,23,25,1000000,6800,0
26,黄太太,28,40,1400000,24100,0
27,NANA,24,20,800000,4800,0
28,司徒老师,27,30,600000,2600,0
29,沈森森,25,35,1200000,11600,0
30,萝莉,26,15,001000,800,0
31,伊丽莎白,19,70,200000,1800,0
